CustomerID,Lookalikes
C0001,"[('C0152', 0.9896746353771764), ('C0174', 0.9795584938611778), ('C0190', 0.8950243618291727)]"
C0002,"[('C0043', 0.9136068474099296), ('C0159', 0.896457003401917), ('C0134', 0.870177731355959)]"
C0003,"[('C0129', 0.9141007494240401), ('C0031', 0.9088227454860375), ('C0190', 0.8846862683578113)]"
C0004,"[('C0012', 0.9412614116801767), ('C0113', 0.9334987333389898), ('C0102', 0.9239062544382644)]"
C0005,"[('C0007', 0.9436984783502785), ('C0140', 0.9164265528395711), ('C0146', 0.890125019586603)]"
C0006,"[('C0187', 0.9609403801708463), ('C0079', 0.8723190164012803), ('C0196', 0.8674274176742649)]"
C0007,"[('C0140', 0.9740444747856722), ('C0005', 0.9436984783502785), ('C0110', 0.8561889046975272)]"
C0008,"[('C0098', 0.9268507278627724), ('C0109', 0.9110230679403942), ('C0024', 0.9008801294630456)]"
C0009,"[('C0198', 0.9666591067486711), ('C0032', 0.8651189950491461), ('C0033', 0.859067519670206)]"
C0010,"[('C0132', 0.8355711189588977), ('C0077', 0.8009398489006314), ('C0083', 0.7717255934534684)]"
C0011,"[('C0107', 0.9953480879026276), ('C0126', 0.9529279280861332), ('C0155', 0.8251453126829776)]"
C0012,"[('C0004', 0.9412614116801767), ('C0102', 0.9333873673852718), ('C0169', 0.9250084060659542)]"
C0013,"[('C0155', 0.9858136383315375), ('C0099', 0.9830064090784065), ('C0087', 0.9792708237832348)]"
C0014,"[('C0060', 0.9792522684504665), ('C0097', 0.9284055285734851), ('C0151', 0.9252223517599355)]"
C0015,"[('C0131', 0.9753367123042065), ('C0036', 0.9009902817103239), ('C0123', 0.879918236548634)]"
C0016,"[('C0183', 0.9878184836015971), ('C0125', 0.8170295106579298), ('C0117', 0.771008844892508)]"
C0017,"[('C0075', 0.9618920816189509), ('C0124', 0.9375706638463797), ('C0057', 0.903573731764288)]"
C0018,"[('C0148', 0.8656923547139368), ('C0046', 0.8583004466444547), ('C0117', 0.8472685591250194)]"
C0019,"[('C0172', 0.8599437109899737), ('C0119', 0.84423855248657), ('C0121', 0.8158436377563909)]"
C0020,"[('C0130', 0.822726523418481), ('C0078', 0.8205398320054496), ('C0050', 0.7877121561300703)]"
